,model_ext,model,path_dets,prep_time,normalize,inference,nms
69,,yolov5s6_960_fp16,"image 70/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10920.jpg: 960x960 2 cars, ",0.01994466781616211,0.0049877166748046875,0.16456055641174316,0.0029931068420410156
70,,yolov5s6_960_fp16,"image 71/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10935.jpg: 960x960 2 cars, ",0.016951799392700195,0.004986763000488281,0.15857648849487305,0.004987478256225586
71,,yolov5s6_960_fp16,"image 72/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang1095.jpg: 960x960 1 car, ",0.019947290420532227,0.004987001419067383,0.16755270957946777,0.0029916763305664062
72,,yolov5s6_960_fp16,"image 73/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10950.jpg: 960x960 2 cars, ",0.017935752868652344,0.0049936771392822266,0.15358400344848633,0.00399017333984375
73,,yolov5s6_960_fp16,"image 74/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10965.jpg: 960x960 2 cars, 1 truck, ",0.021940946578979492,0.004986763000488281,0.1655595302581787,0.002991199493408203
74,,yolov5s6_960_fp16,"image 75/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10980.jpg: 960x960 2 cars, ",0.015956640243530273,0.00498652458190918,0.1545865535736084,0.001995563507080078
75,,yolov5s6_960_fp16,"image 76/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang10995.jpg: 960x960 2 cars, 1 truck, ",0.017949342727661133,0.005985736846923828,0.16755247116088867,0.003988504409790039
76,,yolov5s6_960_fp16,"image 77/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11010.jpg: 960x960 1 car, 1 truck, ",0.021939516067504883,0.005985736846923828,0.17154145240783691,0.001995086669921875
77,,yolov5s6_960_fp16,"image 78/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11025.jpg: 960x960 2 cars, ",0.017949581146240234,0.00698089599609375,0.16156816482543945,0.003990650177001953
78,,yolov5s6_960_fp16,"image 79/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11040.jpg: 960x960 2 cars, ",0.01595282554626465,0.005983591079711914,0.15757989883422852,0.0039904117584228516
79,,yolov5s6_960_fp16,"image 80/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11055.jpg: 960x960 2 cars, ",0.017957210540771484,0.006978273391723633,0.16755056381225586,0.002993345260620117
80,,yolov5s6_960_fp16,"image 81/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11070.jpg: 960x960 2 cars, ",0.015956401824951172,0.004990339279174805,0.15059328079223633,0.002993345260620117
81,,yolov5s6_960_fp16,"image 82/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11085.jpg: 960x960 2 cars, ",0.018950462341308594,0.005984067916870117,0.17054390907287598,0.001995086669921875
82,,yolov5s6_960_fp16,"image 83/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang1110.jpg: 960x960 1 car, ",0.01695537567138672,0.0059833526611328125,0.15259218215942383,0.003989696502685547
83,,yolov5s6_960_fp16,"image 84/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11100.jpg: 960x960 2 cars, ",0.01994633674621582,0.004986763000488281,0.1655590534210205,0.003988504409790039
84,,yolov5s6_960_fp16,"image 85/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11115.jpg: 960x960 1 car, ",0.01795220375061035,0.005984306335449219,0.14960026741027832,0.001994609832763672
85,,yolov5s6_960_fp16,"image 86/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11130.jpg: 960x960 1 car, ",0.015956401824951172,0.004988431930541992,0.16256475448608398,0.0019974708557128906
86,,yolov5s6_960_fp16,"image 87/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11145.jpg: 960x960 1 car, ",0.014956474304199219,0.004988670349121094,0.15358805656433105,0.002991914749145508
87,,yolov5s6_960_fp16,"image 88/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11160.jpg: 960x960 1 car, ",0.015958786010742188,0.004986286163330078,0.16954660415649414,0.0029921531677246094
88,,yolov5s6_960_fp16,"image 89/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11175.jpg: 960x960 1 car, ",0.015955686569213867,0.0059833526611328125,0.1545870304107666,0.0039904117584228516
89,,yolov5s6_960_fp16,"image 90/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11190.jpg: 960x960 1 car, ",0.01894855499267578,0.005985736846923828,0.163560152053833,0.0029921531677246094
90,,yolov5s6_960_fp16,"image 91/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11205.jpg: 960x960 2 cars, ",0.015959978103637695,0.009972333908081055,0.1545851230621338,0.0029916763305664062
91,,yolov5s6_960_fp16,"image 92/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11220.jpg: 960x960 2 cars, ",0.018949508666992188,0.004989147186279297,0.16256237030029297,0.0029921531677246094
92,,yolov5s6_960_fp16,"image 93/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11235.jpg: 960x960 2 cars, ",0.021939754486083984,0.004987478256225586,0.15458893775939941,0.001994609832763672
93,,yolov5s6_960_fp16,"image 94/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang1125.jpg: 960x960 1 car, ",0.01994800567626953,0.005989551544189453,0.16056442260742188,0.003989219665527344
94,,yolov5s6_960_fp16,"image 95/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11250.jpg: 960x960 2 cars, ",0.01795053482055664,0.0049877166748046875,0.1545872688293457,0.003989458084106445
95,,yolov5s6_960_fp16,"image 96/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11265.jpg: 960x960 2 cars, ",0.028951168060302734,0.005954265594482422,0.16356372833251953,0.0029938220977783203
96,,yolov5s6_960_fp16,"image 97/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11280.jpg: 960x960 2 cars, ",0.019945383071899414,0.004990339279174805,0.15657830238342285,0.00299072265625
97,,yolov5s6_960_fp16,"image 98/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11295.jpg: 960x960 2 cars, ",0.023935794830322266,0.005983829498291016,0.17154240608215332,0.003990650177001953
98,,yolov5s6_960_fp16,"image 99/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11310.jpg: 960x960 2 cars, ",0.022938251495361328,0.005986690521240234,0.1635596752166748,0.0029926300048828125
99,,yolov5s6_960_fp16,"image 100/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11325.jpg: 960x960 2 cars, ",0.02593064308166504,0.005987405776977539,0.17054080963134766,0.004988193511962891
100,,yolov5s6_960_fp16,"image 101/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11340.jpg: 960x960 2 cars, ",0.021939754486083984,0.004987478256225586,0.15558457374572754,0.003988981246948242
101,,yolov5s6_960_fp16,"image 102/1100 C:\Users\104JVE\PycharmProjects\datasets\scenario\960\kang11355.jpg: 960x960 2 cars, ",0.025930404663085938,0.006980419158935547,0.17254209518432617,0.0029914379119873047
